           okay	              -	      B-A1	      B-A0	      B-A1	         O	         O
          Armar	              -	      E-A1	      E-A0	      E-A1	         O	         O
             go	             go	       S-V	         O	         O	         O	         O
             to	              -	      B-A4	         O	         O	         O	         O
            the	              -	      I-A4	         O	         O	         O	         O
          table	              -	      E-A4	         O	         O	         O	         O
              .	              -	         O	         O	         O	         O	         O
           take	           take	         O	       S-V	         O	         O	         O
            the	              -	         O	      B-A1	         O	         O	         O
          green	              -	         O	      I-A1	         O	         O	         O
            cup	              -	         O	      E-A1	         O	         O	         O
              .	              -	         O	         O	         O	         O	         O
             go	             go	         O	         O	       S-V	         O	         O
             to	              -	         O	         O	      B-A4	         O	         O
            the	              -	         O	         O	      I-A4	      B-A0	         O
     dishwasher	              -	         O	         O	      I-A4	      I-A0	         O
           open	              -	         O	         O	      I-A4	      I-A0	         O
            it.	              -	         O	         O	      I-A4	      E-A0	         O
            put	            put	         O	         O	      I-A4	       S-V	         O
            the	              -	         O	         O	      I-A4	      B-A1	         O
          green	              -	         O	         O	      I-A4	      I-A1	         O
            cup	              -	         O	         O	      I-A4	      E-A1	         O
           into	              -	         O	         O	      I-A4	      B-A2	         O
            the	              -	         O	         O	      I-A4	      I-A2	         O
     dishwasher	              -	         O	         O	      E-A4	      E-A2	         O
              .	              -	         O	         O	         O	         O	         O
            and	              -	         O	         O	         O	         O	         O
          close	          close	         O	         O	         O	         O	       S-V
             it	              -	         O	         O	         O	         O	      S-A1

